,Name,Team,Role,Age,Country,PR,PG,SF,PT,MIN,C,S,R,T,%,SC,R.1,T.1,%.1,R.2,T.2,%.2,Off,Dif,Tot,Dat,Sub,Per,Rec,Ass,Lega,OER,Adp,Val,Price
17,Cusin Marco,Vanoli Cremona,Centro,30, ITA, , , ,1.0 ,5.5 ,0.0 ,0.0 ,0.5 ,0.5 , 100.0 ,0.0 ,0.0 ,0.0 , 0.0 ,0.0 ,0.0 , 0.0 ,0.5 ,0.5 ,1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,2.5,1.000 ,0.5 ,-2.5 ,2500.0
19,Johnson-Odom Darius,Acqua Vitasnella CantÃ¹,Playmaker,25, USA, , , ,16.8 ,32.2 ,1.8 ,4.4 ,3.8 ,7.4 , 51.4 ,0.6 ,1.8 ,6.0 , 30.0 ,3.8 ,5.2 , 73.1 ,0.2 ,3.2 ,3.4 ,0.2 ,0.8 ,4.4 ,1.2 ,5.0 ,14.8,0.820 ,1.8 ,2.8 ,14800.0
93,Mordente Marco,Pasta Reggia Caserta,Guardia,36, ITA, , , ,3.8 ,24.2 ,2.6 ,2.6 ,0.2 ,1.8 , 11.1 ,0.0 ,1.0 ,2.2 , 45.5 ,0.4 ,0.4 , 100.0 ,1.0 ,1.6 ,2.6 ,0.0 ,0.2 ,1.4 ,0.6 ,1.4 ,4.0,0.727 ,0.6 ,-3.0 ,4000.0
99,D'Ercole Lorenzo,Acea Roma,Play/Guardia,27, , , , ,1.8 ,17.6 ,1.4 ,1.4 ,0.2 ,1.2 , 16.7 ,0.0 ,0.2 ,1.8 , 11.1 ,0.8 ,1.0 , 80.0 ,0.2 ,0.8 ,1 ,0.0 ,0.0 ,0.4 ,1.0 ,0.4 ,1.0,0.539 ,1.0 ,-7.0 ,1000.0
115,Kaukenas Rimantas,Grissin Bon Reggio Emilia,Guardia,38, LIT, , , ,16.0 ,30.6 ,2.8 ,2.6 ,3.6 ,5.8 , 62.1 ,0.0 ,2.0 ,4.2 , 47.6 ,2.8 ,3.0 , 93.3 ,0.6 ,1.8 ,2.4 ,0.2 ,0.0 ,3.0 ,1.2 ,2.6 ,14.6,1.180 ,0.8 ,4.2 ,14600.0
120,Cervi Riccardo,Grissin Bon Reggio Emilia,Centro,23, ITA, , , ,9.2 ,26.6 ,2.6 ,2.6 ,3.4 ,4.8 , 70.8 ,2.4 ,0.0 ,0.0 , 0.0 ,2.4 ,4.0 , 60.0 ,2.8 ,2.6 ,5.4 ,1.8 ,0.4 ,1.8 ,0.6 ,0.6 ,12.4,1.057 ,-0.6 ,5.2 ,12400.0
121,Hunt Dario,Upea Capo d'Orlando,Centro,25, USA, , , ,12.0 ,25.2 ,3.2 ,2.6 ,5.6 ,8.8 , 63.6 ,2.8 ,0.0 ,0.0 , 0.0 ,0.8 ,2.8 , 28.6 ,2.8 ,6.2 ,9 ,0.8 ,0.6 ,2.6 ,0.4 ,1.2 ,14.4,0.940 ,-1.0 ,-2.8 ,14400.0
126,Pecile Andrea,Upea Capo d'Orlando,Playmaker,35, ITA, , , ,2.6 ,16.6 ,1.2 ,2.0 ,0.6 ,2.2 , 27.3 ,0.0 ,0.2 ,1.6 , 12.5 ,0.8 ,0.8 , 100.0 ,0.2 ,2.2 ,2.4 ,0.0 ,0.4 ,1.0 ,0.2 ,1.0 ,2.6,0.341 ,0.2 ,-2.2 ,2600.0
128,De Gennaro Matteo,Enel Brindisi,Guardia,18, ITA, , , ,3.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 , 0.0 ,0.0 ,1.0 ,1.0 , 100.0 ,0.0 ,0.0 , 0.0 ,0.0 ,0.0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0,3.000 ,0.0 ,4.0 ,3000.0
156,Cuccarolo Gino,Granarolo Bologna,Centro,27, ITA, , , ,2.4 ,7.2 ,1.2 ,1.0 ,1.0 ,1.6 , 62.5 ,0.4 ,0.0 ,0.0 , 0.0 ,0.4 ,0.8 , 50.0 ,1.0 ,1.4 ,2.4 ,0.4 ,0.0 ,1.2 ,0.0 ,0.2 ,3.0,0.603 ,-1.0 ,-2.2 ,3000.0
177,Rautins Andy,Openjobmetis Varese,Guardia,28, USA, , , ,15.8 ,32.4 ,2.8 ,1.4 ,0.6 ,2.4 , 25.0 ,0.0 ,4.6 ,8.6 , 53.5 ,0.8 ,1.2 , 66.7 ,0.2 ,4.4 ,4.6 ,0.0 ,0.0 ,1.4 ,1.2 ,1.2 ,13.8,1.138 ,1.0 ,1.4 ,13800.0
178,Okoye Stanley,Openjobmetis Varese,Ala,24, USA, , , ,6.5 ,18.8 ,3.5 ,1.0 ,2.5 ,4.0 , 62.5 ,0.0 ,0.3 ,1.0 , 25.0 ,0.8 ,0.8 , 100.0 ,2.5 ,4.5 ,7 ,0.3 ,0.5 ,1.3 ,0.0 ,0.8 ,8.0,1.013 ,-0.5 ,3.0 ,8000.0
180,Michelori Andrea,Pasta Reggia Caserta,Ala/Centro,37, ITA, , , ,4.0 ,15.8 ,3.2 ,3.2 ,1.2 ,3.6 , 33.3 ,0.0 ,0.0 ,0.0 , 0.0 ,1.6 ,3.8 , 42.1 ,1.6 ,1.6 ,3.2 ,0.4 ,0.6 ,1.2 ,1.0 ,0.4 ,2.6,0.630 ,0.2 ,1.4 ,2600.0
