,Name,Team,Role,Age,Lega,Price
13,Cervi Riccardo,Grissin Bon Reggio Emilia,Centro,23,11.7,11700.0
14,Cusin Marco,Vanoli Cremona,Centro,30,2.5,2500.0
42,Pecile Andrea,Upea Capo d'Orlando,Playmaker,35,3.7,3700.0
64,Freeman Austin,Upea Capo d'Orlando,Guardia,25,11.4,11400.0
69,Johnson-Odom Darius,Acqua Vitasnella CantÃ¹,Playmaker,25,14.0,14000.0
104,Cuccarolo Gino,Granarolo Bologna,Centro,27,3.0,3000.0
110,Michelori Andrea,Pasta Reggia Caserta,Ala/Centro,37,3.3,3300.0
162,Okoye Stanley,Openjobmetis Varese,Ala,24,8.6,8600.0
167,Hunt Dario,Upea Capo d'Orlando,Centro,25,12.3,12300.0
173,D'Ercole Lorenzo,Acea Roma,Play/Guardia,27,0.2,200.0
190,De Gennaro Matteo,Enel Brindisi,Guardia,18,3.0,3000.0
192,Dulkys Deividas,Umana Reyer Venezia,Guardia,27,4.3,4300.0
207,Kaukenas Rimantas,Grissin Bon Reggio Emilia,Guardia,38,13.0,13000.0
