,Name,Team,Role,Age,Lega,Price
0,Robinson Dawan,Openjobmetis Varese,Playmaker,33,14.7,14700.0
1,Lavrinovic Ksistof,Grissin Bon Reggio Emilia,Ala/Centro,35,13.3,13300.0
2,Owens Josh,Dolomiti Energia Trento,Ala/Centro,26,13.2,13200.0
3,Johnson Linton,Giorgio Tesi Group Pistoia,Centro,34,16.2,16200.0
4,Lawal Shane,Banco di Sardegna Sassari,Centro,28,14.6,14600.0
5,Flynn Jonny,Upea Capo d'Orlando,Playmaker,26,5.0,5000.0
6,Dulkys Deividas,Umana Reyer Venezia,Guardia,27,4.3,4300.0
7,Mordente Marco,Pasta Reggia Caserta,Guardia,36,4.3,4300.0
8,Judge Wally,Consultinvest Pesaro,Centro,24,4.8,4800.0
9,Baldi Rossi Filippo,Dolomiti Energia Trento,Centro,23,4.0,4000.0
10,Ruzzier Michele,Umana Reyer Venezia,Playmaker,22,1.8,1800.0
11,Raspino Tommaso,Consultinvest Pesaro,Guardia/Ala,25,2.0,2000.0
12,Lechthaler Luca,Sidigas Avellino,Centro,29,1.8,1800.0
