Name,Team,Role,Age,Country,Media,PR,PG,SF,PT,MIN,C,S,R,T,%,SC,R,T,%,R,T,%,Off,Dif,Tot,Dat,Sub,Per,Rec,Ass,Lega,OER,Adp,+/-,Url
Sergio Luigi,Pasta Reggia Caserta,Ala,27, ITA, Medie , , , ,0.8 ,3.5 ,0.8 ,0.3 ,0.0 ,0.3 , 0.0 ,0.0 ,0.3 ,0.8 , 33.3 ,0.0 ,0.0 , 0.0 ,0.3 ,0.3 ,0.6 ,0.0 ,0.0 ,0.3 ,0.0 ,0.0 ,-0.3 ,0.375 ,-0.3 ,-1.8 ,http://195.56.77.208/player/SER-LUI-88/sergio_luigi
Ray Allan,Granarolo Bologna,Guardia,30, USA, Medie , , , ,15.7 ,29.3 ,3.0 ,3.5 ,3.0 ,7.2 , 41.9 ,0.5 ,2.3 ,4.5 , 51.9 ,2.7 ,2.8 , 94.1 ,1.0 ,2.0 ,3 ,0.2 ,0.3 ,3.8 ,0.5 ,3.0 ,12.2 ,0.921 ,-0.3 ,-7.2 ,http://195.56.77.208/player/RAY-ALL-84/ray_allan
Taylor Donell,Grissin Bon Reggio Emilia,Guardia,32, USA, Medie , , , ,8.7 ,24.0 ,2.3 ,0.7 ,2.0 ,5.0 , 40.0 ,0.0 ,1.3 ,3.3 , 40.0 ,0.7 ,0.7 , 100.0 ,0.0 ,2.0 ,2 ,0.3 ,0.0 ,1.3 ,1.7 ,2.0 ,6.7 ,0.800 ,2.3 ,3.7 ,http://195.56.77.208/player/TAY-DON-82/taylor_donell
Silins Ojars,Grissin Bon Reggio Emilia,Ala,21, LAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/SIL-OJA-93/silins_ojars
Stone Julyan,Umana Reyer Venezia,Playmaker,26, USA, Medie , , , ,6.7 ,25.8 ,2.7 ,3.3 ,2.3 ,4.8 , 48.3 ,0.8 ,0.2 ,2.3 , 7.1 ,1.5 ,2.0 , 75.0 ,1.5 ,5.2 ,6.7 ,0.3 ,0.3 ,1.7 ,1.5 ,3.2 ,11.8 ,0.614 ,3.0 ,1.5 ,http://195.56.77.208/player/STO-JUL-88/stone_julyan
Vinciguerra Antonio,Pasta Reggia Caserta,Playmaker,17, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/VIN-ANT-97/vinciguerra_antonio
Spanghero Marco,Dolomiti Energia Trento,Play/Guardia,23, ITA, Medie , , , ,4.7 ,16.2 ,2.3 ,2.0 ,0.0 ,0.5 , 0.0 ,0.0 ,1.5 ,3.0 , 50.0 ,0.2 ,0.2 , 100.0 ,0.0 ,1.7 ,1.7 ,0.0 ,0.2 ,0.3 ,0.3 ,0.8 ,4.7 ,0.897 ,0.8 ,2.2 ,http://195.56.77.208/player/SPA-MAR-91/spanghero_marco
Rovatti Andrea,Grissin Bon Reggio Emilia,Guardia,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/ROV-AND/rovatti_andrea
Turner Elston,Enel Brindisi,Guardia,24, USA, Medie , , , ,11.8 ,28.5 ,2.3 ,1.0 ,3.0 ,5.2 , 58.1 ,0.0 ,1.7 ,4.8 , 34.5 ,0.8 ,1.0 , 83.3 ,0.7 ,3.3 ,4 ,0.3 ,0.7 ,0.7 ,0.8 ,2.5 ,11.3 ,1.067 ,2.7 ,0.5 ,http://195.56.77.208/player/TUR-ELS-90/turner_elston
Severini Luca,Giorgio Tesi Group Pistoia,Ala/Centro,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/SEV-LUC-96/severini_luca
Tealdi Francesco,Pasta Reggia Caserta,Ala,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/TEA-FRA/tealdi_francesco
Logan David,Banco di Sardegna Sassari,Guardia,32, USA, Medie , , , ,19.6 ,32.8 ,2.8 ,2.2 ,4.4 ,7.4 , 59.5 ,0.4 ,3.2 ,7.2 , 44.4 ,1.2 ,1.8 , 66.7 ,0.4 ,3.0 ,3.4 ,0.4 ,1.0 ,2.0 ,2.2 ,3.2 ,17.6 ,1.119 ,3.4 ,5.8 ,http://195.56.77.208/player/LOG-DAV-82/logan_david
Musso Bernardo,Consultinvest Pesaro,Guardia,29, ARG, Medie , , , ,12.4 ,25.2 ,2.2 ,2.4 ,1.6 ,2.0 , 80.0 ,0.0 ,2.6 ,6.0 , 43.3 ,1.4 ,2.0 , 70.0 ,0.8 ,2.0 ,2.8 ,0.2 ,0.0 ,1.0 ,0.6 ,2.0 ,12.8 ,1.231 ,1.6 ,-8.0 ,http://195.56.77.208/player/Mus-Ber-86/musso_bernardo
Mordente Marco,Pasta Reggia Caserta,Guardia,36, ITA, Medie , , , ,3.7 ,23.5 ,2.8 ,2.3 ,0.2 ,1.7 , 10.0 ,0.0 ,1.0 ,2.2 , 46.2 ,0.3 ,0.3 , 100.0 ,0.8 ,1.7 ,2.5 ,0.0 ,0.2 ,1.3 ,0.7 ,2.2 ,4.3 ,0.731 ,1.5 ,-2.8 ,http://195.56.77.208/player/MOR-MAR-79/mordente_marco
Pastori Manuel,EA7 Emporio Armani Milano,Ala,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/PAS-MAN/pastori_manuel
Ivanov Dejan,Enel Brindisi,Centro,29, BUL, Medie , , , ,5.7 ,19.5 ,1.2 ,3.0 ,1.8 ,2.8 , 64.7 ,0.0 ,0.2 ,1.5 , 11.1 ,1.5 ,2.0 , 75.0 ,1.5 ,2.7 ,4.2 ,0.2 ,0.2 ,1.3 ,0.7 ,1.5 ,9.7 ,0.849 ,0.8 ,2.7 ,http://195.56.77.208/player/IVA-DEJ-86/ivanov_dejan
Morgan Jordan,Acea Roma,Centro,23, USA, Medie , , , ,9.2 ,21.3 ,3.3 ,1.7 ,3.5 ,7.2 , 48.8 ,0.3 ,0.0 ,0.0 , 0.0 ,2.2 ,2.8 , 76.5 ,4.0 ,4.0 ,8 ,0.3 ,0.3 ,2.3 ,1.2 ,0.5 ,10.5 ,0.822 ,-0.7 ,2.5 ,http://195.56.77.208/player/MOR-JOR-91/morgan_jordan
Gentile Alessandro,EA7 Emporio Armani Milano,Guardia,22, ITA, Medie , , , ,14.2 ,30.2 ,2.3 ,3.8 ,4.7 ,8.2 , 57.1 ,0.8 ,0.7 ,3.2 , 21.1 ,2.8 ,3.2 , 89.5 ,0.3 ,3.0 ,3.3 ,0.2 ,0.0 ,3.8 ,0.5 ,2.5 ,12.0 ,0.836 ,-0.8 ,9.3 ,http://195.56.77.208/player/GEN-ALE-92/gentile_alessandro
Diawara Yakhouba,Openjobmetis Varese,Ala,32, FRA, Medie , , , ,23.2 ,36.7 ,3.8 ,5.0 ,5.0 ,9.3 , 53.6 ,0.8 ,2.5 ,7.7 , 32.6 ,5.7 ,7.3 , 77.3 ,2.2 ,3.0 ,5.2 ,0.0 ,0.2 ,2.0 ,1.2 ,3.0 ,20.3 ,1.022 ,2.2 ,5.5 ,http://195.56.77.208/player/DIA-YAK-82/diawara_yakhouba
Kangur Kristjan,Openjobmetis Varese,Ala,32, EST, Medie , , , ,15.7 ,40.3 ,4.3 ,4.0 ,1.7 ,5.0 , 33.3 ,0.0 ,3.0 ,6.3 , 47.4 ,3.3 ,3.3 , 100.0 ,4.7 ,4.3 ,9 ,0.0 ,0.3 ,1.7 ,2.3 ,3.7 ,21.7 ,1.094 ,4.3 ,2.0 ,http://195.56.77.208/player/KAN-KRI-82/kangur_kristjan
Cuccarolo Gino,Granarolo Bologna,Centro,27, ITA, Medie , , , ,2.0 ,6.5 ,1.0 ,0.8 ,0.8 ,1.3 , 62.5 ,0.3 ,0.0 ,0.0 , 0.0 ,0.3 ,0.7 , 50.0 ,0.8 ,1.2 ,2 ,0.3 ,0.0 ,1.0 ,0.0 ,0.2 ,2.5 ,0.503 ,-0.8 ,-1.8 ,http://195.56.77.208/player/CUC-GIN-87/cuccarolo_gino
