,Name,Team,Role,Age,Country,PR,PG,SF,PT,MIN,C,S,R,T,%,SC,R.1,T.1,%.1,R.2,T.2,%.2,Off,Dif,Tot,Dat,Sub,Per,Rec,Ass,Lega,OER,Adp,Val,Price
52,Ress Tomas,Umana Reyer Venezia,Ala/Centro,34, ITA, , , ,7.6 ,24.8 ,1.4 ,2.4 ,1.4 ,2.4 , 58.3 ,0.4 ,1.2 ,3.6 , 33.3 ,1.2 ,2.4 , 50.0 ,1.2 ,2.4 ,3.6 ,0.6 ,0.0 ,0.8 ,1.2 ,0.8 ,9.4 ,0.999 ,1.2 ,8.2,8200.0
58,Devecchi Giacomo,Banco di Sardegna Sassari,Guardia/Ala,30, , , , ,4.0 ,13.7 ,0.0 ,1.3 ,1.0 ,1.3 , 75.0 ,0.0 ,0.3 ,0.7 , 50.0 ,1.0 ,1.3 , 75.0 ,1.0 ,0.7 ,1.7 ,0.0 ,0.0 ,0.3 ,1.0 ,0.0 ,6.7 ,0.810 ,0.7 ,10.3,10300.0
77,Gaines Sundiata,Sidigas Avellino,Playmaker,28, USA, , , ,10.0 ,28.0 ,2.4 ,3.6 ,2.2 ,6.2 , 35.5 ,0.0 ,1.0 ,3.8 , 26.3 ,2.6 ,3.6 , 72.2 ,0.4 ,1.4 ,1.8 ,0.6 ,0.4 ,2.2 ,1.2 ,2.4 ,6.8 ,0.745 ,1.4 ,4.2,4200.0
103,Clark Cameron,Vanoli Cremona,Ala,23, USA, , , ,15.2 ,30.8 ,3.6 ,2.8 ,5.0 ,9.2 , 54.4 ,0.4 ,1.0 ,3.2 , 31.3 ,2.2 ,3.0 , 73.3 ,1.8 ,4.6 ,6.4 ,0.2 ,0.2 ,1.0 ,2.4 ,0.8 ,15.8 ,1.035 ,2.2 ,9.0,9000.0
113,Lawal Shane,Banco di Sardegna Sassari,Centro,28, NIG, , , ,8.6 ,26.4 ,2.6 ,2.2 ,4.0 ,6.2 , 64.5 ,2.4 ,0.0 ,0.0 , 0.0 ,0.6 ,1.6 , 37.5 ,2.4 ,5.4 ,7.8 ,2.0 ,0.0 ,2.0 ,0.8 ,1.0 ,14.6 ,0.906 ,-0.2 ,10.2,10200.0
120,Cervi Riccardo,Grissin Bon Reggio Emilia,Centro,23, ITA, , , ,9.2 ,26.6 ,2.6 ,2.6 ,3.4 ,4.8 , 70.8 ,2.4 ,0.0 ,0.0 , 0.0 ,2.4 ,4.0 , 60.0 ,2.8 ,2.6 ,5.4 ,1.8 ,0.4 ,1.8 ,0.6 ,0.6 ,12.4 ,1.057 ,-0.6 ,5.2,5200.0
125,Vitali Michele,Pasta Reggia Caserta,Guardia,23, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
152,Spera Andrea,Pasta Reggia Caserta,Centro,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
170,Imbrò Matteo,Granarolo Bologna,Playmaker,21, ITA, , , ,5.8 ,15.0 ,1.8 ,1.2 ,0.4 ,1.0 , 40.0 ,0.0 ,1.2 ,2.8 , 42.9 ,1.4 ,1.6 , 87.5 ,0.4 ,2.4 ,2.8 ,0.0 ,0.2 ,0.6 ,1.0 ,1.4 ,7.2 ,1.272 ,1.8 ,4.8,4800.0
191,Moss David,EA7 Emporio Armani Milano,Ala,31, USA, , , ,8.0 ,26.5 ,3.3 ,3.0 ,0.8 ,3.0 , 25.0 ,0.0 ,1.3 ,4.0 , 31.3 ,2.8 ,3.3 , 84.6 ,0.5 ,2.3 ,2.8 ,0.3 ,0.3 ,0.3 ,1.0 ,1.5 ,7.3 ,0.917 ,2.3 ,9.3,9300.0
199,Gigli Angelo,EA7 Emporio Armani Milano,Centro,31, RSA, , , ,0.0 ,6.0 ,0.0 ,0.0 ,0.0 ,0.0 , 0.0 ,0.0 ,0.0 ,0.0 , 0.0 ,0.0 ,0.0 , 0.0 ,0.0 ,0.0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 ,0.0 ,-3.0,-3.0
200,Harper Demonte,Enel Brindisi,Guardia/Ala,25, USA, , , ,8.4 ,20.8 ,3.2 ,2.0 ,2.2 ,3.4 , 64.7 ,0.6 ,0.8 ,2.6 , 30.8 ,1.6 ,1.8 , 88.9 ,1.0 ,1.2 ,2.2 ,0.0 ,0.0 ,3.0 ,0.6 ,1.2 ,5.0 ,0.813 ,-1.2 ,4.8,4800.0
216,Ruzzier Michele,Umana Reyer Venezia,Playmaker,22, ITA, , , ,3.8 ,15.2 ,2.8 ,1.0 ,1.0 ,2.8 , 35.7 ,0.0 ,0.4 ,1.0 , 40.0 ,0.6 ,0.8 , 75.0 ,0.4 ,0.4 ,0.8 ,0.0 ,0.4 ,0.4 ,0.2 ,2.0 ,1.6 ,0.710 ,1.8 ,5.4,5400.0
