Name,Team,Role,Age,Country,Media,PR,PG,SF,PT,MIN,C,S,R,T,%,SC,R,T,%,R,T,%,Off,Dif,Tot,Dat,Sub,Per,Rec,Ass,Lega,OER,Adp,+/-,Url
Archie Dominique,Upea Capo d'Orlando,Ala,27, USA, Medie , , , ,16.2 ,34.8 ,2.0 ,6.2 ,4.4 ,6.8 , 64.7 ,0.6 ,1.2 ,3.8 , 31.6 ,3.8 ,4.8 , 79.2 ,0.8 ,5.0 ,5.8 ,0.0 ,0.2 ,3.0 ,1.4 ,2.4 ,20.8 ,1.011 ,0.8 ,-2.6 ,http://195.56.77.208/player/ARC-DOM-87/archie_dominique
Armwood Isaiah,Dolomiti Energia Trento,Ala/Centro,24, USA, Medie , , , ,0.8 ,4.4 ,1.2 ,0.6 ,0.2 ,0.8 , 25.0 ,0.0 ,0.0 ,0.2 , 0.0 ,0.4 ,0.4 , 100.0 ,0.0 ,0.2 ,0.2 ,0.4 ,0.0 ,0.4 ,0.0 ,0.0 ,-0.4 ,0.533 ,-0.4 ,-2.2 ,http://195.56.77.208/player/ARM-ISA-90/armwood_isaiah
Banks Adrian,Sidigas Avellino,Guardia,29, USA, Medie , , , ,12.6 ,29.4 ,1.8 ,3.8 ,3.0 ,7.0 , 42.9 ,0.4 ,0.6 ,2.0 , 30.0 ,4.8 ,5.8 , 82.8 ,0.8 ,1.8 ,2.6 ,0.0 ,0.4 ,3.8 ,1.2 ,2.4 ,10.2 ,0.827 ,-0.2 ,6.2 ,http://195.56.77.208/player/BAN-ADR-86/banks_adrian
Bertocchi Edoardo,Dolomiti Energia Trento,Centro,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/BER-EDO-96/bertocchi_edoardo
Awudu Abass Abass,Acqua Vitasnella CantÃ¹,Ala,22, ITA, Medie , , , ,8.0 ,19.2 ,1.4 ,1.2 ,2.2 ,2.8 , 78.6 ,0.6 ,1.0 ,2.4 , 41.7 ,0.6 ,1.0 , 60.0 ,0.6 ,1.2 ,1.8 ,0.8 ,0.0 ,1.8 ,0.8 ,0.6 ,7.6 ,0.906 ,-0.4 ,-0.2 ,http://195.56.77.208/player/ABA-AWU/awudu_abass_abass
Baparapè Biram,Acqua Vitasnella CantÃ¹,Guardia,17, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/BAP-BIR/baparap__biram
Bell James,Vanoli Cremona,Ala,23, USA, Medie , , , ,8.4 ,28.4 ,2.6 ,1.4 ,2.0 ,3.4 , 58.8 ,0.4 ,1.2 ,5.0 , 24.0 ,0.8 ,1.0 , 80.0 ,0.6 ,4.4 ,5 ,0.8 ,0.4 ,1.8 ,1.6 ,0.4 ,7.4 ,0.811 ,0.2 ,-1.6 ,http://195.56.77.208/player/BEL-JAM-92/bell_james
Basile Gianluca,Upea Capo d'Orlando,Guardia,40, ITA, Medie , , , ,2.2 ,24.6 ,3.0 ,0.2 ,0.6 ,1.0 , 60.0 ,0.0 ,0.2 ,3.0 , 6.7 ,0.4 ,0.6 , 66.7 ,0.2 ,0.8 ,1 ,0.0 ,0.2 ,0.8 ,1.2 ,3.4 ,0.6 ,0.409 ,3.8 ,5.0 ,http://195.56.77.208/player/BAS-GIA-75/basile_gianluca
Bianchi Tommaso,Giorgio Tesi Group Pistoia,Play/Guardia,18, ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://195.56.77.208/player/BIA-TOM-96/bianchi_tommaso
Basile Nicolò,Consultinvest Pesaro,Playmaker,20, ITA, Medie , , , ,1.0 ,11.5 ,2.0 ,0.5 ,0.5 ,1.5 , 33.3 ,0.0 ,0.0 ,0.8 , 0.0 ,0.0 ,0.3 , 0.0 ,0.5 ,1.0 ,1.5 ,0.0 ,0.3 ,0.3 ,0.8 ,1.0 ,0.3 ,0.310 ,1.5 ,-5.8 ,http://195.56.77.208/player/BAS-NIC-95/basile_nicol
Cavaliero Daniele,Sidigas Avellino,Play/Guardia,31, ITA, Medie , , , ,8.2 ,21.4 ,2.6 ,2.6 ,1.0 ,2.0 , 50.0 ,0.0 ,1.6 ,4.4 , 36.4 ,1.4 ,1.8 , 77.8 ,0.0 ,1.2 ,1.2 ,0.0 ,0.2 ,1.6 ,0.8 ,3.0 ,7.2 ,0.935 ,2.2 ,-6.8 ,http://195.56.77.208/player/CAV-DAN-84/cavaliero_daniele
